name,category_slug,price,mrp,unit,stock,image_url,description
"Premium Fresh Organic Tomatoes #1","fruits-vegetables",35,42,"1 kg",50,"https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500","Enjoy fresh Premium Fresh Organic Tomatoes #1. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Farm Fresh White Eggs #2","dairy-eggs",47,56,"6 pcs",51,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Premium Farm Fresh White Eggs #2. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Double Choco Chip Muffin #3","bakery",120,144,"4 pcs",52,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Premium Double Choco Chip Muffin #3. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Rich Dark Roast Coffee #4","beverages",255,306,"200 g",53,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Premium Rich Dark Roast Coffee #4. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Crispy Salted Potato Chips #5","snacks",40,48,"90 g",54,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Organic Crispy Salted Potato Chips #5. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Chakki Fresh Whole Wheat Atta #6","staples-grains",250,300,"5 kg",55,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Organic Chakki Fresh Whole Wheat Atta #6. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Fresh Spinach Bunch #7","fruits-vegetables",50,60,"250 g",56,"https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500","Enjoy fresh Premium Fresh Spinach Bunch #7. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Farm Fresh White Eggs #8","dairy-eggs",77,92,"6 pcs",57,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Organic Farm Fresh White Eggs #8. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select 100% Whole Wheat Bread #9","bakery",85,102,"400 g",58,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Select 100% Whole Wheat Bread #9. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Classic Green Tea Bags #10","beverages",220,264,"25 bags",59,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Select Classic Green Tea Bags #10. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Butter Choco Chip Cookies #11","snacks",100,120,"150 g",60,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Select Butter Choco Chip Cookies #11. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Refined Sunflower Oil Pouch #12","staples-grains",190,228,"1 L",61,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Select Refined Sunflower Oil Pouch #12. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Crisp Shimla Apples #13","fruits-vegetables",220,264,"1 kg",62,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500","Enjoy fresh Organic Crisp Shimla Apples #13. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Farm Fresh White Eggs #14","dairy-eggs",107,128,"6 pcs",63,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Select Farm Fresh White Eggs #14. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Double Choco Chip Muffin #15","bakery",180,216,"4 pcs",64,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Fresh Double Choco Chip Muffin #15. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Rich Dark Roast Coffee #16","beverages",240,288,"200 g",65,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Fresh Rich Dark Roast Coffee #16. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Crispy Salted Potato Chips #17","snacks",25,30,"90 g",66,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Special Crispy Salted Potato Chips #17. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Chakki Fresh Whole Wheat Atta #18","staples-grains",235,282,"5 kg",67,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Special Chakki Fresh Whole Wheat Atta #18. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Green Broccoli #19","fruits-vegetables",80,96,"1 pc",68,"https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500","Enjoy fresh Organic Green Broccoli #19. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Farm Fresh White Eggs #20","dairy-eggs",62,74,"6 pcs",69,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Fresh Farm Fresh White Eggs #20. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe 100% Whole Wheat Bread #21","bakery",70,84,"400 g",70,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Deluxe 100% Whole Wheat Bread #21. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Classic Green Tea Bags #22","beverages",205,246,"25 bags",71,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Deluxe Classic Green Tea Bags #22. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Butter Choco Chip Cookies #23","snacks",85,102,"150 g",72,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Deluxe Butter Choco Chip Cookies #23. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Refined Sunflower Oil Pouch #24","staples-grains",175,210,"1 L",73,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Deluxe Refined Sunflower Oil Pouch #24. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select New Crop Potatoes #25","fruits-vegetables",69,83,"1 kg",74,"https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500","Enjoy fresh Select New Crop Potatoes #25. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Farm Fresh White Eggs #26","dairy-eggs",92,110,"6 pcs",75,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Special Farm Fresh White Eggs #26. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Double Choco Chip Muffin #27","bakery",165,198,"4 pcs",76,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Classic Double Choco Chip Muffin #27. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Rich Dark Roast Coffee #28","beverages",300,360,"200 g",77,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Classic Rich Dark Roast Coffee #28. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Crispy Salted Potato Chips #29","snacks",85,102,"90 g",78,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Handpicked Crispy Salted Potato Chips #29. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Chakki Fresh Whole Wheat Atta #30","staples-grains",295,354,"5 kg",79,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Handpicked Chakki Fresh Whole Wheat Atta #30. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Fresh Organic Tomatoes #31","fruits-vegetables",35,42,"1 kg",80,"https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500","Enjoy fresh Fresh Fresh Organic Tomatoes #31. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Farm Fresh White Eggs #32","dairy-eggs",47,56,"6 pcs",81,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Deluxe Farm Fresh White Eggs #32. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural 100% Whole Wheat Bread #33","bakery",55,66,"400 g",82,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Natural 100% Whole Wheat Bread #33. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Classic Green Tea Bags #34","beverages",190,228,"25 bags",83,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Natural Classic Green Tea Bags #34. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Butter Choco Chip Cookies #35","snacks",70,84,"150 g",84,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Natural Butter Choco Chip Cookies #35. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Refined Sunflower Oil Pouch #36","staples-grains",160,192,"1 L",85,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Natural Refined Sunflower Oil Pouch #36. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Fresh Spinach Bunch #37","fruits-vegetables",50,60,"250 g",86,"https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500","Enjoy fresh Fresh Fresh Spinach Bunch #37. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Farm Fresh White Eggs #38","dairy-eggs",77,92,"6 pcs",87,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Classic Farm Fresh White Eggs #38. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Double Choco Chip Muffin #39","bakery",150,180,"4 pcs",88,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Daily Double Choco Chip Muffin #39. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Rich Dark Roast Coffee #40","beverages",285,342,"200 g",89,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Daily Rich Dark Roast Coffee #40. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack Crispy Salted Potato Chips #41","snacks",70,84,"90 g",90,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Value Pack Crispy Salted Potato Chips #41. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
